Name,item_category,item_brand,item_weight,item_type
зубная паста лакалют актив 75мл,"Красота, гигиена, бытовая химия",splat,75мл,зубная паста
зубная паста лакалют сенситив 75мл,"Красота, гигиена, бытовая химия",splat,75мл,зубная паста
"зубная паста лесной бальзам ромашка и облепиха, 1 штука,…","Красота, гигиена, бытовая химия",лесной бальзам,,зубная паста
зубная паста лесной бальзам с экстрактом коры дуба и пихты…,"Красота, гигиена, бытовая химия",лесной бальзам,,зубная паста
"колбаса молочная вязанка вареная мини 0,5кг (стародворские…","Птица, мясо, деликатесы",вязанка,5кг,колбаса
кофе jardin kenya kilimanjaro 95г,"Чай, кофе, сахар",jardin,95г,кофе
кофе nescafe gold сублимированный с молотым 190г,"Чай, кофе, сахар",nescafe,190г,кофе
"кофе жокей мокка растворимый сублимированный, 130 г","Чай, кофе, сахар",жокей,130,кофе
"кофе жокей эспрессо, молотый, темная обжарка, 230 г","Чай, кофе, сахар",жокей,230,кофе
"кофе карт нуар, растворимый, 95 г","Чай, кофе, сахар",carte noire,95,кофе
кофе карт нуар растворимый 95г,"Чай, кофе, сахар",carte noire,95г,кофе
"кофе нескафе классик, молотый в растворимом, 85 г","Чай, кофе, сахар",nescafe,85,кофе
"кофе паулиг, молотый: кафе нью-йорк, средней обжарки/ кафе…","Чай, кофе, сахар",paulig,,кофе
кофе черная карта эксклюзив бразилиа растворимый 95г,"Чай, кофе, сахар",черная карта,95г,кофе
кофе черная карта голд натуральный растворимый 95г,"Чай, кофе, сахар",черная карта,95г,кофе
"напиток fanta со вкусом апельсин сильногазированный 0,9л","Воды, соки, напитки",fanta,"0,9л",напиток
"напиток mirinda апельсин сил/газ., 2 л","Воды, соки, напитки",mirinda,,напиток
"напиток pepsi max низкокалорийный газ., 2 л","Воды, соки, напитки",pepsi,,напиток
"напиток sprite сильногазированный 0,9 л","Воды, соки, напитки",sprite,,напиток
"напиток любимый, апельсин- манго- мандарин/ яблоко, 1,93 л","Воды, соки, напитки",любимый,93,напиток
напиток любимый гранатовый сезон яблоко/гранат/черная рябина…,"Воды, соки, напитки",любимый,,напиток
"напиток любимый апельсин/манго/мандарин 1,93 л","Воды, соки, напитки",любимый,93,напиток
"напиток любимый яблоко-вишня-черешня осветленный 1,93 л","Воды, соки, напитки",любимый,93,напиток
напиток нескафе 3в1 крепкий кофейный растворимый цепочка…,"Чай, кофе, сахар",nescafe,3в1,напиток
напиток нескафе классик 3в1 кофейный растворимый 16г,"Чай, кофе, сахар",nescafe,16г,напиток
"напиток фрутмотив тропик негазированный 1,5л","Воды, соки, напитки",фрутмотив,"1,5л",напиток
напиток газированная спрайт 500мл,"Воды, соки, напитки",—,500мл,напиток
"напиток кефирный биобаланс 1% 0,93кг","Молоко, сыр, яйца",—,"0,93кг",напиток
"напиток негазированный фрутмотив, в ассортименте","Воды, соки, напитки",фрутмотив,,напиток
"напиток негазированный фрутмотив ягодный микс 1,5л","Воды, соки, напитки",фрутмотив,"1,5л",напиток
пюре,Товары для мам и детей,—,,пюре
"пюре агуша яблоко/тыква/персик/банан, с 6 месяцев, 90г",Товары для мам и детей,агуша,90г,пюре
пюре гербер брокколи 12×80г,Товары для мам и детей,gerber,80г,пюре
пюре фрутоняня из яблок и бананов с творогом 90г,Товары для мам и детей,фрутоняня,90г,пюре
пюре мясное,Товары для мам и детей,—,,пюре
"пюре мясное фрутоняня цыпленок, 80г",Товары для мам и детей,фрутоняня,80г,пюре
пюре фруктовое,Другое,—,,пюре
"сыр брест-литовск классический, 500 г","Молоко, сыр, яйца",брест-литовск,500,сыр
сыр брест-литовский 45% 200 г (савушкин),"Молоко, сыр, яйца",брест-литовск,45,сыр
сыр плавленый хохланд ассорти 140г,"Молоко, сыр, яйца",hochland,140г,сыр
сыр плавленый сливочный 140г,"Молоко, сыр, яйца",сыробогатов,140г,сыр
сыр плавленый сливочный президент 45% 400г,"Молоко, сыр, яйца",president,400г,сыр
"чай lipton earl grey, 200г","Чай, кофе, сахар",lipton,200г,чай
чай гринфилд летающий дракон 25 пакетиков,"Чай, кофе, сахар",greenfield,25,чай
чай липтон йеллоу лэйбл пакетированный 100шт,"Чай, кофе, сахар",lipton,100шт,чай
чай лисма крепкий 100 пакетиков,"Чай, кофе, сахар",лисма,100,чай
чай майский корона российской империи 25 пакетиков,"Чай, кофе, сахар",майский,25,чай
чай майский лесные ягоды 25шт,"Чай, кофе, сахар",майский,25шт,чай
